TPID,Customer Name,AE Covered,SubSegment,Subsidiary,Sales Territory,Vertical,Vertical Category,AE,Azure Motion,Azure Core Specialist,App Inno,Azure D&AI Specialist,Biz Apps Specialist,Low Code Motion,Low Code Specialist,Modern Work Motion,Modern Work Specialist,Security Specialist,Surface Specialist
12895226,STYLECRAFT BUILDERS,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Real Estate,Construction of Buildings,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
12853588,SCHOOLSFIRST FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Banking,Credit Unions,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
1276177,LUDVIK ELECTRIC CO,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Real Estate,Specialty Trade Contractors,,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
1261846,Eye Associates of NM,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,IT Services & Business Advisory,System Integration,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
1252820,"Dudek and Associates, Inc.",SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Other Professional Services,Structural Engineering Svcs,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
12518837,SA RECYCLING,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Process Manufacturing,Metal,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
12334461,Vendor Resource Management,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,IT Services & Business Advisory,Managed IT Services,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
1224311,HELLMUTH OBATA & KASSABAUM,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Other Professional Services,Structural Engineering Svcs,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
12199426,YUMA REGIONAL MEDICAL CENTER,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Health Provider,Hospitals,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
1203593,OMNI HOTELS A P DEPT,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Hospitality,"Hotel, Motel & Casino",CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow MW,KITUNNEY,,DAPATTER
