TPID,Customer Name,AE Covered,SubSegment,Subsidiary,Sales Territory,Vertical,Vertical Category,AE,Azure Motion,Azure Core Specialist,App Inno,Azure D&AI Specialist,Biz Apps Specialist,Low Code Motion,Low Code Specialist,Modern Work Motion,Modern Work Specialist,Security Specialist,Surface Specialist
8755768,AURORA ORGANIC DAIRY,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,AgriBusiness,Agriculture& Agricultural Svcs,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
8712656,NEVADA RESTAURANT SERVICES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,IT Services & Business Advisory,Management Consulting,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
8705699,PSOMAS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Other Professional Services,Surveying Services,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
865608,WESCOM CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Banking,Credit Unions,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
8534182,GLOBALENGLISH CORPORATION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,"At scale SW, data & platforms","At scale SW, data & platforms",ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
84428132,ICHD Inc.,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Other Professional Services,Commercial Contractual,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
8360713,AUTHENTIX ISOTAG,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,IT Services & Business Advisory,System Integration,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
8342359,KINECTA FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Banking,Credit Unions,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
83133788,CAPTURE 2 PROPOSAL,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Other Professional Services,Commercial Contractual,,SMC Grow Azure,"MICHELLEKING, DUCHATHA",ERHALDAN,"NENOBIE, MWILLEY",DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
8304221,INSIGHT INVESTMENTS CORP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,IT Services & Business Advisory,System Integration,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
82799096,TRAVERE,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Health Provider,Svcs Not Elsewhere Classified,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
8272233,Montage Hotels & Resorts LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Hospitality,"Hotel, Motel & Casino",LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
8237872,WCA WASTE CORPORATION,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other Professional Services,Commercial Contractual,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
8146526,TEXAS DOW EMPLOYEES CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Banking,Credit Unions,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
803872,COMMUNITY MEMORIAL HOSPITAL,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Hospitals,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
8000902,AERA ENERGY LLC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Oil & Gas,Oil & Gas,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
7990419,PIH HEALTH INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Hospitals,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
7819803,JOERIS GENERAL CONTRACTORS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Real Estate,Specialty Trade Contractors,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
77339421,"BJ Energy Solutions, LLC",SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
7596507,UNIVERSITY FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Banking,Credit Unions,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
74915653,Skydance,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Hospitality,Other Amusement and Recreation,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
7434441,AMHERST HOLDINGS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Capital Markets,Asset Management,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
7408893,FAMILY HEALTH CENTERS OF SD,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Private Physicians Practices,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
7401395,4WALL ENTERTAINMENT,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Media & Entertainment,"Books, Magazines, Newspaper",,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
7338900,CW DRIVER INC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Real Estate,Property Management,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
72868283,Carl Dopart,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
727626,Econolite,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Transport & Logistics,Transport Support Activities,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
71817065,US Endodontics Partners,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Health Provider,Svcs Not Elsewhere Classified,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
70052330,SOLVO A TURIO GROUP COMPANY,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
69741379,GULFTECH GROUP,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
69342351,SELECT QUOTE,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Insurance,Direct Life Insurance Carriers,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
688310,Chiang Patel & Yerby Inc,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Other Professional Services,Architectural Services,,SMC Acq Azure,DASTENVO,,,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
681042,GUADALUPE VALLEY ELECTRIC COMPANY GEVC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Power & Utilities,Power & Utilities,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
677054,WINSTEAD SECHREST & MINICK,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Other Professional Services,Legal,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
6732584,California Insurance Guarantee Association,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Insurance,Direct Prop_Casualty Insurance,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
672221,FENWICK WEST,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Other Professional Services,Legal,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
665849,ENERGYSOLUTIONS,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Other Professional Services,Commercial Contractual,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
662807,Wilshire Associates Incorporated,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,IT Services & Business Advisory,Managed IT Services,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
66221692,"AFV Partners, LLC",SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Other Professional Services,Commercial Contractual,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
657874,Rubin Postaer and Associates,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Media & Entertainment,Ad Agencies & Ad Sales/Service,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
65535297,Interior Landscapes,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Other Professional Services,Commercial Contractual,,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
65519049,Connecticut Party Rentals,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Other - Unsegmented,Other - Unsegmented,,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
6527246,HIGGINBOTHAM & ASSOCIATES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Insurance,Agents & Brokers,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
6513189,MORROW MEADOWS CORP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Real Estate,Construction of Buildings,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
647547,Colonial Savings & Loan Associates,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Banking,Commercial Banking,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
645619,MANATT PHELPS AND PHILLIPS LLP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Other Professional Services,Legal,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
644699,EISENHOWER MEDICAL CENTER,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Health Provider,Hospitals,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
644433,GIBSON DUNN AND CRUTCHER LLP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Other Professional Services,Legal,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
641552,SMART & FINAL,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Retailers,Grocery/Specialty Foods,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
639858,SACU,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Banking,Credit Unions,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
6356843,SAM INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Other Professional Services,Structural Engineering Svcs,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
634886,ASSOCIATION OPERATING ROOM NURSES,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Nonprofit & IGO,Member Organizations,,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
633034,Sherman & Howard LLC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Other Professional Services,Legal,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
62062498,CAPITALSENIOR.COM,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Real Estate,Property Management,,SMC Acq Azure,DASTENVO,,,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
6178136,SOURCE REFRIGERATION AND HVAC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Real Estate,Specialty Trade Contractors,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
604552,ARAMCO SERVICES COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
5985224,CLEAN ENERGY FUELS CORP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Oil & Gas,Oil & Gas,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
59489422,AHERN FAMILY OF COMPANIES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Real Estate,Construction of Buildings,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
59471168,BRECKENRIDGE GRAND VACATIONS,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Hospitality,"Hotel, Motel & Casino",,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
5912721,SALEM COMMUNICATIONS CORPORATION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Media & Entertainment,Radio & TV,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
5899213,CALLON PETROLEUM,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
5831687,OIL STATES INDUSTRIES INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Oil & Gas,Oil & Gas,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
5823584,THE DOCTORS COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Insurance,Agents & Brokers,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
5823431,ENERVEST MANAGEMENT PARTNERS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
5778751,PENHALL CO,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Real Estate,Construction of Buildings,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow MW,BMERVIN,,JASONALV
5751489,WORD AND BROWN GENERAL AGENCY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Insurance,Direct Prop_Casualty Insurance,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
5724598,THE LUND COMPANY,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Real Estate,Property Development,,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
57196651,Stratum Reservoir,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Oil & Gas,Oil & Gas,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
5692459,GCOMMERCE,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,IT Services & Business Advisory,System Integration,,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
56285042,VAREL MINING AND INDUSTRIAL LLC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Oil & Gas,Oil & Gas,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
55797543,CONTINUUM GLOBAL SOLUTIONS LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Other Professional Services,Commercial Contractual,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow MW,KITUNNEY,,DAPATTER
5523086,STEADFAST MANAGEMENT COMP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Real Estate,Construction of Buildings,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
54865318,cokinoslaw.com,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Other - Unsegmented,Other - Unsegmented,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
54838668,Ontellus,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,IT Services & Business Advisory,Managed IT Services,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
54551930,OneCubic,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other - Unsegmented,Other - Unsegmented,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
5414634,ORION CONSTRUCTION INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Real Estate,Construction of Buildings,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow MW,KITUNNEY,,DAPATTER
53794019,siglers.com,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Real Estate,Construction of Buildings,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
5316807,WISE REGIONAL HEALTH SYSTEM,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Health Provider,Hospitals,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
53040522,C&L Refrigeration,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
5295400,MICHAEL SULLIVAN & ASSOCIATES,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Other Professional Services,Legal,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
52871889,ANTHESIS LLC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Nonprofit & IGO,Member Organizations,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
5232218,EL PASO ELECTRIC COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Power & Utilities,Power & Utilities,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
51603730,UNITED LANGUAGE GROUP,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other Professional Services,Commercial Contractual,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
51155557,adminsure.com,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
